Job Title,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Min_salary,Max_salary,Avg_salary,Job_state,Age,python_yn,r_yn,spark_yn,aws_yn,excel_yn,sql_yn
Sr Data Scientist,3.1,Healthfirst,1001 to 5000 employees,1993.0,Nonprofit Organization,Insurance Carriers,Insurance,,"EmblemHealth, UnitedHealth Group, Aetna",137000,171000,154000.0,New York,32.0,0,0,0,1,0,0
Data Scientist,4.2,ManTech,5001 to 10000 employees,1968.0,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),,137000,171000,154000.0,Chantilly,57.0,0,0,0,0,0,1
Data Scientist,3.8,Analysis Group,1001 to 5000 employees,1981.0,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),,137000,171000,154000.0,Boston,44.0,1,0,0,1,1,0
Data Scientist,3.5,INFICON,501 to 1000 employees,2000.0,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies",137000,171000,154000.0,Newton,25.0,1,0,0,1,1,1
Data Scientist,2.9,Affinity Solutions,51 to 200 employees,1998.0,Company - Private,Advertising & Marketing,Business Services,,"Commerce Signals, Cardlytics, Yodlee",137000,171000,154000.0,New York,27.0,1,0,0,0,1,1
Data Scientist,4.2,HG Insights,51 to 200 employees,2010.0,Company - Private,Computer Hardware & Software,Information Technology,,,137000,171000,154000.0,Santa Barbara,15.0,1,0,1,0,1,1
Data Scientist / Machine Learning Expert,3.9,Novartis,10000+ employees,1996.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,137000,171000,154000.0,Cambridge,29.0,1,0,0,0,0,0
Data Scientist,3.5,iRobot,1001 to 5000 employees,1990.0,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),,137000,171000,154000.0,Bedford,35.0,1,0,0,0,0,1
Staff Data Scientist - Analytics,4.4,Intuit - Data,5001 to 10000 employees,1983.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block",137000,171000,154000.0,San Diego,42.0,0,0,0,0,0,0
Data Scientist,3.6,XSELL Technologies,51 to 200 employees,2014.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,137000,171000,154000.0,Chicago,11.0,1,0,0,0,0,1
Data Scientist,4.5,Novetta,501 to 1000 employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",137000,171000,154000.0,Herndon,13.0,1,0,0,1,1,0
Data Scientist,4.7,1904labs,51 to 200 employees,2016.0,Company - Private,IT Services,Information Technology,,"Slalom, Daugherty Business Solutions",137000,171000,154000.0,Saint Louis,9.0,1,0,1,0,0,1
"Data Scientist - Statistics, Early Career",3.7,PNNL,1001 to 5000 employees,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",137000,171000,154000.0,Richland,60.0,0,0,0,0,1,0
Data Modeler,3.1,Old World Industries,201 to 500 employees,1973.0,Company - Private,Chemical Manufacturing,Manufacturing,$1 to $2 billion (USD),,137000,171000,154000.0,Northbrook,52.0,1,0,0,0,1,1
Data Scientist,3.4,Mathematica Policy Research,1001 to 5000 employees,1986.0,Company - Private,Consulting,Business Services,$100 to $500 million (USD),,137000,171000,154000.0,Washington,39.0,1,0,0,1,1,0
Experienced Data Scientist,4.4,Guzman & Griffin Technologies (GGTI),1 to 50 employees,1997.0,Company - Private,Federal Agencies,Government,,,137000,171000,154000.0,Washington,28.0,1,0,1,0,1,1
Data Scientist - Contract,4.1,Upside Business Travel,51 to 200 employees,2015.0,Company - Private,Internet,Information Technology,,,137000,171000,154000.0,Remote,10.0,1,0,0,0,0,0
Data Scientist,3.5,Buckman,1001 to 5000 employees,1945.0,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),,137000,171000,154000.0,Memphis,80.0,1,0,0,0,0,1
Data Analyst II,4.2,"Insight Enterprises, Inc.",5001 to 10000 employees,1988.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),"CDW, PCM, SHI International",137000,171000,154000.0,Plano,37.0,0,0,0,0,1,0
Medical Lab Scientist,3.5,Tower Health,5001 to 10000 employees,2017.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,,,137000,171000,154000.0,West Grove,8.0,0,0,0,0,0,0
Data Scientist,3.2,Triplebyte,51 to 200 employees,2015.0,Company - Private,Computer Hardware & Software,Information Technology,,,137000,171000,154000.0,New York,10.0,0,0,0,0,0,0
Data Scientist/Machine Learning,4.3,PulsePoint,51 to 200 employees,2011.0,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Crossix Solutions Inc., AppNexus, The Trade Desk",137000,171000,154000.0,New York,14.0,1,0,1,0,0,0
Human Factors Scientist,3.5,Exponent,1001 to 5000 employees,1967.0,Company - Public,Consulting,Business Services,$100 to $500 million (USD),,137000,171000,154000.0,Phoenix,58.0,0,0,0,0,1,0
Business Intelligence Analyst I- Data Insights,3.5,Guardian Life,5001 to 10000 employees,1860.0,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),Northwestern Mutual,137000,171000,154000.0,Appleton,165.0,0,0,0,0,0,0
Data Scientist,3.4,Spectrum Communications and Consulting,51 to 200 employees,1992.0,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),,137000,171000,154000.0,Chicago,33.0,0,0,0,0,0,1
Data Scientist,4.7,Oversight Systems,51 to 200 employees,2003.0,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),,137000,171000,154000.0,Atlanta,22.0,1,0,0,0,1,1
Data Scientist - Risk,4.2,LSQ,51 to 200 employees,1996.0,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),,137000,171000,154000.0,Orlando,29.0,1,0,1,1,1,0
Data Scientist-Human Resources,3.8,MIT Lincoln Laboratory,1001 to 5000 employees,1951.0,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,,,137000,171000,154000.0,Lexington,74.0,1,0,1,0,0,1
Data Scientist,4.5,Kingfisher Systems,51 to 200 employees,2005.0,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),,137000,171000,154000.0,McLean,20.0,1,0,0,0,0,1
Data Scientist,2.8,Formation,51 to 200 employees,2015.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,137000,171000,154000.0,San Francisco,10.0,0,0,1,0,1,0
Data Scientist,3.8,Analysis Group,1001 to 5000 employees,1981.0,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),,75000,131000,103000.0,Boston,44.0,1,0,0,1,1,0
Data Scientist / Machine Learning Expert,3.9,Novartis,10000+ employees,1996.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,75000,131000,103000.0,Cambridge,29.0,1,0,0,0,0,0
Data Scientist,5.0,Cohere Health,1 to 50 employees,2019.0,Company - Private,IT Services,Information Technology,,,75000,131000,103000.0,Boston,6.0,1,0,0,0,1,1
Senior Research Statistician- Data Scientist,4.8,Acuity Insurance,1001 to 5000 employees,1925.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),,75000,131000,103000.0,Sheboygan,100.0,0,0,0,0,0,0
Data Engineer,3.6,Chef,201 to 500 employees,2008.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),"Puppet, Ansible, SaltStack",75000,131000,103000.0,United States,17.0,0,0,0,1,1,1
Associate Data Scientist,3.3,Puget Sound Energy,1001 to 5000 employees,1999.0,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),,75000,131000,103000.0,Bothell,26.0,0,0,1,0,1,1
Business Intelligence Analyst,2.7,Sandhills Global,1001 to 5000 employees,1978.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),,75000,131000,103000.0,Lincoln,47.0,1,0,0,0,1,1
Data Scientist,2.7,A Place for Mom,501 to 1000 employees,2000.0,Company - Private,Health Care Services & Hospitals,Health Care,,"Enlivant, Sunrise Senior Living, Brookdale Senior Living",75000,131000,103000.0,Overland Park,25.0,1,0,0,1,1,1
Data Scientist,2.2,Great-Circle Technologies,1 to 50 employees,2000.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),,75000,131000,103000.0,Chantilly,25.0,1,0,1,1,1,1
Senior Analyst/Data Scientist,3.4,Edmunds.com,501 to 1000 employees,1966.0,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"TrueCar, Cars.com, Kelley Blue Book",75000,131000,103000.0,Santa Monica,59.0,1,0,0,1,1,1
Data Analyst,3.1,"Cambridge Associates, LLC",501 to 1000 employees,1973.0,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),,75000,131000,103000.0,Boston,52.0,1,0,0,0,1,1
Machine Learning Engineer,3.4,Liberty Mutual Insurance,10000+ employees,1912.0,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",75000,131000,103000.0,Portsmouth,113.0,1,0,1,1,1,0
Data Analyst I,2.6,Cenlar,1001 to 5000 employees,1958.0,Company - Private,,,$100 to $500 million (USD),,75000,131000,103000.0,Ewing,67.0,0,0,0,0,0,1
Scientist - Molecular Biology,5.0,Arsenal Biosciences,51 to 200 employees,2019.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,75000,131000,103000.0,South San Francisco,6.0,0,0,0,0,0,0
Data Scientist,4.2,Eversight,51 to 200 employees,2013.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),,75000,131000,103000.0,Palo Alto,12.0,1,0,0,0,0,0
"Computational Scientist, Machine Learning",4.1,Pfizer,10000+ employees,1849.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,75000,131000,103000.0,Cambridge,176.0,1,0,0,1,1,0
Senior Data Scientist,4.8,Klaviyo,201 to 500 employees,2012.0,Company - Private,Computer Hardware & Software,Information Technology,,,75000,131000,103000.0,Boston,13.0,0,0,0,0,0,0
Data Scientist,3.3,Intellectual Ventures,501 to 1000 employees,2000.0,Company - Private,Investment Banking & Asset Management,Finance,,,75000,131000,103000.0,Bellevue,25.0,1,0,0,0,1,0
Data Scientist,3.7,GovTech,1001 to 5000 employees,2016.0,Government,Federal Agencies,Government,,,75000,131000,103000.0,San Francisco,9.0,1,0,0,0,1,0
Data Scientist,4.3,Quick Base,201 to 500 employees,1999.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,75000,131000,103000.0,Cambridge,26.0,1,0,0,0,1,1
Data Analyst,4.8,Giving Assistant,1 to 50 employees,2014.0,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),,75000,131000,103000.0,San Francisco,11.0,1,0,0,0,1,1
Data Scientist,3.7,Takeda,10000+ employees,1781.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",75000,131000,103000.0,Cambridge,244.0,1,0,1,0,0,1
Data Scientist,4.0,Netskope,501 to 1000 employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,"Skyhigh Networks, Zscaler, NortonLifeLock",75000,131000,103000.0,San Francisco,13.0,1,0,1,0,1,0
Jr. Data Engineer,4.8,IT Concepts,51 to 200 employees,2003.0,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),,75000,131000,103000.0,Remote,22.0,0,0,0,0,1,1
E-Commerce Data Analyst,3.5,iSeatz,51 to 200 employees,1999.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,75000,131000,103000.0,New Orleans,26.0,0,0,0,0,1,1
